Episode,State,Utara,Timur,Selatan,Barat,Goal,Total Aksi,Reward
3,"3,5",-0.1,-0.1,-0.1,0.0,True,45,32
3,"3,6",-0.5,-0.1,0.0,-0.1,True,45,32
3,"4,1",-0.1,0.0,-0.5,-0.1,True,45,32
3,"4,2",-0.1,-0.19,-0.1,-0.1,True,45,32
3,"4,3",-0.1,-0.1,-0.19,-0.1,True,45,32
3,"4,4",-0.1,-0.1,-0.1,-0.1,True,45,32
3,"4,5",-0.1,-0.1,-0.1,-0.1,True,45,32
3,"4,6",-0.5,-0.1,-0.1,-0.1,True,45,32
3,"5,1",-0.1,0.0,0.0,0.0,True,45,32
3,"5,2",-0.19,-0.1,-0.1,0.0,True,45,32
3,"5,3",-0.19,-0.1,0.0,-0.1,True,45,32
3,"5,4",-0.1,-0.1,-0.1,-0.1,True,45,32
3,"5,5",-0.1,-0.1,-0.1,-0.1,True,45,32
3,"5,6",0.0,-0.1,-0.1,-0.1,True,45,32
3,"6,1",-0.1,0.0,0.0,0.0,True,45,32
3,"6,2",0.0,-0.5,-0.1,-0.1,True,45,32
3,"6,3",0.8,0.0,0.0,0.0,True,45,32
3,"6,4",0.0,19.0,0.0,0.0,True,45,32
3,"6,5",-0.1,-0.5,0.0,-0.1,True,45,32
3,"6,6",0.0,-0.5,-0.1,-0.1,True,45,32
3,Jalur,,,,,,,"timur,timur,utara,utara,timur,selatan,selatan,selatan,barat,selatan,timur,utara,barat,selatan,utara,timur,timur,selatan,utara,utara,utara,utara,timur,barat,utara,timur,selatan,timur,utara,timur,barat,barat,barat,utara,timur,utara,timur,selatan,barat,selatan,timur,selatan,timur,utara,timur"
4,"1,1",-0.36829,-0.36910000000000004,-0.5,-0.5,True,43,50
4,"1,2",-0.28,-0.2881,-0.20791,-0.5,True,43,50
4,"1,3",-0.19,-0.20710000000000003,-0.20791,-0.9590000000000001,True,43,50
4,"1,4",-0.1,-0.199,-0.10900000000000001,-0.5,True,43,50
4,"1,5",-0.1,-0.1,-0.1,0.0,True,43,50
4,"1,6",-0.5,-0.1,-0.1,-0.5,True,43,50
4,"2,1",-0.2881,-0.19,-0.5,-0.22402900000000003,True,43,50
4,"2,2",-0.28,-0.19981000000000002,-0.2071,-0.2071,True,43,50
4,"2,3",-0.199,-0.19,-0.1,-0.19981000000000002,True,43,50
4,"2,4",-0.199,-0.199,-0.1,-0.1,True,43,50
4,"2,5",-0.1,-0.199,-0.1,-0.1,True,43,50
4,"2,6",-0.5,0.0,-0.1,-0.1,True,43,50
4,"3,1",-0.199,-0.1,-0.5,-0.1,True,43,50
4,"3,2",-0.10900000000000001,-0.199,-0.10900000000000001,-0.20710000000000003,True,43,50
4,"3,3",-0.199,-0.199,-0.1,-0.1,True,43,50
4,"3,4",-0.19,-0.199,-0.199,-0.1,True,43,50
4,"3,5",-0.19,-0.2881,-0.1,-0.1,True,43,50
4,"3,6",-0.5,-0.1,-0.10900000000000001,-0.1,True,43,50
4,"4,1",-0.1,0.0,-0.5,-0.1,True,43,50
4,"4,2",-0.1,-0.19,-0.1,-0.1,True,43,50
4,"4,3",-0.1,-0.1,-0.19,-0.1,True,43,50
4,"4,4",-0.199,-0.1,-0.1,-0.199,True,43,50
4,"4,5",-0.1,-0.199,-0.199,-0.199,True,43,50
4,"4,6",-0.5,-0.1,-0.1,-0.1,True,43,50
4,"5,1",-0.1,0.0,0.0,0.0,True,43,50
4,"5,2",-0.19,-0.1,-0.1,0.0,True,43,50
4,"5,3",-0.19,-0.1,0.0,-0.1,True,43,50
